Year_Month,策略月報酬率,市場月報酬率,月末資金,月最大回撤
2023-07,0.0,-0.0206,100000.0,0.0
2023-08,0.0,-0.1126,100000.0,0.0
2023-09,0.0,0.0412,100000.0,0.0
2023-10,0.0,0.2603,100000.0,0.0
2023-11,0.0,0.0914,100000.0,0.0
2023-12,0.0,0.1224,100000.0,0.0
2024-01,0.0,0.0199,100000.0,0.0
2024-02,0.0,0.3733,100000.0,0.0
2024-03,0.0281,0.1766,102372.8676,-10.6295
2024-04,0.0,-0.1506,102372.8676,-10.6295
2024-05,0.0,0.1193,102372.8676,-10.6295
2024-06,-0.0005,-0.0696,102318.52,-10.6769
2024-07,-0.0543,0.0397,96840.6383,-15.459
2024-08,0.0,-0.0714,96840.6383,-15.459
2024-09,-0.0331,0.0787,93405.1979,-18.4582
2024-10,0.0215,0.1097,95191.7776,-18.4582
2024-11,-0.0211,0.334,93193.3585,-18.6431
2024-12,-0.0564,-0.0236,87930.1306,-23.2378
2025-01,-0.0459,0.0997,83942.4528,-26.719
2025-02,0.0,-0.1875,83942.4528,-26.719
2025-03,0.0,-0.0032,83942.4528,-26.719
2025-04,-0.07,0.1445,77783.5359,-32.0957
2025-05,0.0685,0.1105,83108.6544,-32.0957
2025-06,0.0,0.0276,83108.6544,-27.4469
2025-07,0.0715,0.1108,89153.3866,-27.4469
