Date,Close,Signal,Trade_Type,Position,RSI,MACD,MACD_Signal
2024-03-05,63801.19921875,1,Buy,1,69.44877505944285,4648.694841662,3765.5887585615533
2024-03-16,65315.1171875,-1,Sell,0,54.74546101534145,4468.9448526671185,4963.049233358608
2024-06-07,69342.5859375,1,Buy,1,55.343083792760716,1192.2804706058378,1147.7474282359901
2024-06-08,69305.7734375,-1,Sell,0,55.194273981248756,1116.7696456365375,1141.5518717160996
2024-07-08,56705.09765625,-1,Sell,-1,34.163342091703754,-2371.177733538556,-1956.1242919541583
2024-07-12,57899.46484375,1,Buy,0,39.928270566566184,-2061.2620245220096,-2078.4378611985894
2024-07-29,66819.9140625,1,Buy,1,57.86910541042715,1560.2323651448678,1237.067322829457
2024-07-31,64619.25,-1,Sell,0,49.552987660093585,1203.3105030587903,1262.7942739077448
2024-09-04,57971.5390625,-1,Sell,-1,43.835657257348394,-777.5261869611786,-489.82646869649534
2024-09-12,58127.01171875,1,Buy,0,49.24857199519281,-1006.246586105648,-1116.0374560242415
2024-09-26,65181.01953125,1,Buy,1,64.68674786145368,1441.8831714243643,902.1241589303877
2024-09-30,63329.5,-1,Sell,0,54.58754689716755,1572.8873829406075,1343.1251628061664
2024-10-14,66046.125,1,Buy,1,63.75932493716899,522.2400779216987,375.4215323353161
2024-10-26,67014.6953125,-1,Sell,0,56.86186643498698,1353.8073039972369,1418.7803851098158
2024-10-28,69907.7578125,1,Buy,1,65.52165521101176,1479.7038050407573,1419.079471251694
2024-11-03,68741.1171875,-1,Sell,0,54.89535869844752,1552.702203057037,1671.5968014311568
2024-12-16,106029.71875,1,Buy,1,69.19287762165524,3707.9147471540346,3675.3815589277697
2024-12-18,100041.5390625,-1,Sell,0,54.32268839178438,3427.3443928284833,3653.391066594621
2025-01-21,106146.265625,1,Buy,1,64.22680552989604,1860.8687938468793,928.9341479313731
2025-01-28,101332.4765625,-1,Sell,0,51.846799270876794,1621.7960090687266,1709.9369116479747
2025-04-06,78214.484375,-1,Sell,-1,36.161840370855,-1354.1450860739278,-1116.516231475918
2025-04-11,83404.8359375,1,Buy,0,50.29393105412867,-1451.4596491589036,-1479.589218125497
2025-05-07,97032.3203125,1,Buy,1,66.23219465241735,2805.589130045715,2771.048364932258
2025-05-17,103191.0859375,-1,Sell,0,67.44165792528281,3686.1669711525174,3762.987162113545
2025-05-23,107287.796875,1,Buy,1,63.387876292696234,4045.0296343806694,3915.898239432829
2025-05-24,107791.15625,-1,Sell,0,64.23785366497111,3894.9108786323195,3911.7007672727273
2025-07-09,111326.5546875,1,Buy,1,62.53621457662382,1131.1763790119003,841.2297370146141
